,bounding_boxes
15508,"[[939, 720, 1607, 1096]]"
15507,"[[886, 682, 1517, 1036]]"
15506,"[[892, 685, 1529, 1043]]"
15505,"[[969, 744, 1658, 1130]]"
15504,"[[690, 850, 1766, 636]]"
15503,"[[655, 807, 1680, 603]]"
15502,"[[663, 818, 1699, 611]]"
15501,"[[693, 856, 1777, 640]]"
15520,"[[266, 140, 2215, 1444]]"
15500,"[[766, 945, 1966, 706]]"
15521,"[[366, 192, 3038, 1980]]"
15523,"[[230, 121, 1906, 1241]]"
15542,"[[54, 190, 802, 317]]"
15541,"[[85, 300, 1271, 503]]"
15540,"[[1405, 994, 742, 662]]"
15539,"[[1564, 1105, 826, 736]]"
15538,"[[2260, 1598, 1192, 1062]]"
15537,"[[1453, 1027, 767, 683]]"
15536,"[[1428, 1008, 753, 672]]"
15535,"[[1445, 1022, 762, 679]]"
15534,"[[1125, 989, 484, 473]]"
15533,"[[1625, 1428, 698, 682]]"
15532,"[[1633, 1436, 701, 686]]"
15531,"[[1117, 982, 480, 470]]"
15530,"[[1755, 1542, 755, 738]]"
15529,"[[1190, 1044, 511, 499]]"
15528,"[[1734, 1524, 745, 729]]"
15527,"[[1128, 992, 484, 473]]"
15526,"[[1750, 1537, 751, 736]]"
15525,"[[272, 144, 2263, 1474]]"
15524,"[[353, 186, 2934, 1911]]"
15522,"[[349, 184, 2902, 1891]]"
15725,"[[352, 105, 311, 292]]"
15499,"[[905, 700, 1147, 833]]"
15497,"[[1019, 790, 1293, 938]]"
15473,"[[640, 511, 1432, 744]]"
15472,"[[1112, 685, 853, 894]]"
15471,"[[1041, 640, 797, 836]]"
15470,"[[1021, 627, 782, 819]]"
15469,"[[1208, 743, 926, 969]]"
15468,"[[1091, 671, 835, 874]]"
15467,"[[1114, 939, 793, 503]]"
15466,"[[992, 838, 707, 448]]"
15465,"[[1225, 1033, 874, 554]]"
15464,"[[1108, 934, 790, 499]]"
15463,"[[1579, 1332, 1125, 714]]"
15462,"[[1033, 872, 737, 466]]"
15461,"[[1057, 890, 752, 476]]"
15460,"[[979, 826, 699, 443]]"
15459,"[[1232, 1039, 877, 556]]"
15458,"[[961, 810, 686, 435]]"
15457,"[[672, 256, 1024, 561]]"
15456,"[[386, 635, 1730, 810]]"
15455,"[[417, 684, 1867, 874]]"
15474,"[[912, 956, 798, 747]]"
15498,"[[934, 723, 1185, 859]]"
15475,"[[681, 714, 595, 557]]"
15477,"[[869, 910, 759, 711]]"
15496,"[[1073, 830, 1360, 987]]"
15495,"[[1006, 778, 1274, 924]]"
15494,"[[1006, 778, 1274, 924]]"
15493,"[[1051, 812, 1331, 967]]"
15492,"[[1002, 775, 1269, 922]]"
15491,"[[846, 759, 434, 278]]"
15490,"[[1033, 929, 531, 340]]"
15489,"[[1094, 982, 564, 361]]"
15488,"[[846, 761, 435, 279]]"
15487,"[[828, 743, 425, 272]]"
15486,"[[207, 588, 1430, 1380]]"
15485,"[[202, 574, 1395, 1347]]"
15484,"[[209, 594, 1441, 1391]]"
15483,"[[167, 475, 1155, 1116]]"
15482,"[[208, 590, 1436, 1384]]"
15481,"[[765, 803, 671, 626]]"
15480,"[[951, 997, 832, 778]]"
15479,"[[841, 880, 735, 687]]"
15478,"[[955, 1001, 835, 781]]"
15476,"[[798, 835, 697, 653]]"
15362,"[[1055, 699, 1873, 1189]]"
15726,"[[285, 85, 250, 236]]"
15728,"[[350, 104, 307, 290]]"
15975,"[[307, 264, 317, 194]]"
15974,"[[299, 257, 310, 191]]"
15973,"[[9, 1684, 1753, 835]]"
15972,"[[13, 2648, 2759, 1313]]"
15971,"[[9, 1668, 1736, 827]]"
15970,"[[9, 1807, 1881, 896]]"
15969,"[[6, 1355, 1411, 672]]"
15968,"[[7, 1631, 1699, 809]]"
15976,"[[279, 241, 290, 177]]"
15967,"[[12, 2447, 2549, 1213]]"
15965,"[[8, 1766, 1839, 875]]"
15964,"[[1909, 1443, 1023, 624]]"
15963,"[[287, 23, 2354, 1831]]"
15962,"[[475, 39, 3893, 3026]]"
15961,"[[298, 25, 2448, 1902]]"
15960,"[[413, 35, 3392, 2634]]"
15959,"[[278, 23, 2280, 1771]]"
15958,"[[1169, 698, 369, 502]]"
15966,"[[5, 1052, 1094, 521]]"
15977,"[[326, 282, 339, 207]]"
15978,"[[302, 261, 314, 192]]"
15979,"[[336, 290, 347, 213]]"
15998,"[[276, 70, 481, 445]]"
15997,"[[280, 72, 487, 451]]"
15996,"[[292, 75, 507, 471]]"
15995,"[[250, 64, 436, 404]]"
15994,"[[34, 980, 1198, 804]]"
15993,"[[30, 870, 1065, 714]]"
15992,"[[33, 926, 1131, 758]]"
15991,"[[1341, 830, 689, 732]]"
15990,"[[1289, 799, 662, 703]]"
15989,"[[1325, 822, 681, 724]]"
15988,"[[849, 793, 1163, 1077]]"
15987,"[[748, 700, 1027, 952]]"
15986,"[[470, 384, 1265, 715]]"
15985,"[[597, 490, 1610, 909]]"
15984,"[[153, 18, 615, 432]]"
15983,"[[165, 20, 662, 466]]"
15982,"[[1640, 1039, 1514, 781]]"
15981,"[[466, 401, 483, 297]]"
15980,"[[343, 296, 356, 219]]"
15957,"[[1148, 686, 362, 493]]"
15956,"[[1474, 1416, 300, 275]]"
15955,"[[1415, 1357, 287, 265]]"
15954,"[[1177, 1129, 238, 219]]"
15930,"[[966, 628, 560, 1371]]"
15929,"[[1073, 390, 923, 672]]"
15928,"[[1635, 1174, 1092, 585]]"
15927,"[[321, 421, 1977, 1230]]"
15926,"[[300, 395, 1848, 1149]]"
15925,"[[147, 731, 1699, 1441]]"
15924,"[[217, 1076, 2498, 2120]]"
15923,"[[135, 673, 1562, 1326]]"
15922,"[[200, 986, 2288, 1942]]"
15921,"[[135, 670, 1557, 1322]]"
15920,"[[146, 723, 1681, 1427]]"
15919,"[[717, 475, 436, 373]]"
15918,"[[1092, 721, 661, 568]]"
15917,"[[831, 549, 503, 433]]"
15916,"[[906, 599, 550, 473]]"
15915,"[[1113, 736, 676, 581]]"
15914,"[[813, 567, 767, 480]]"
15913,"[[1008, 702, 948, 594]]"
15912,"[[897, 561, 2222, 1980]]"
15931,"[[1130, 724, 1266, 782]]"
15999,"[[798, 816, 874, 812]]"
15932,"[[1152, 739, 1294, 798]]"
15934,"[[1177, 755, 1319, 814]]"
15953,"[[1379, 1324, 279, 258]]"
15952,"[[1372, 1316, 278, 256]]"
15951,"[[1504, 1442, 306, 281]]"
15950,"[[1544, 1483, 313, 289]]"
15949,"[[1489, 1429, 302, 278]]"
15948,"[[285, 105, 686, 368]]"
15947,"[[233, 86, 561, 301]]"
15946,"[[571, 1016, 2154, 717]]"
15945,"[[604, 1074, 2277, 758]]"
15944,"[[606, 1078, 2280, 759]]"
15943,"[[513, 620, 1585, 777]]"
15942,"[[570, 688, 1760, 863]]"
15941,"[[205, 121, 1681, 1411]]"
15940,"[[214, 125, 1746, 1465]]"
15939,"[[870, 558, 976, 602]]"
15938,"[[1244, 799, 1396, 861]]"
15937,"[[1073, 689, 1204, 744]]"
15936,"[[992, 636, 1113, 687]]"
15935,"[[1182, 758, 1327, 818]]"
15933,"[[1224, 786, 1373, 849]]"
15911,"[[1165, 907, 655, 770]]"
16000,"[[986, 1009, 1082, 1004]]"
16002,"[[926, 947, 1015, 941]]"
16066,"[[1086, 954, 985, 743]]"
16065,"[[1573, 1382, 1427, 1077]]"
16064,"[[1420, 1247, 1288, 973]]"
16063,"[[1016, 891, 920, 694]]"
16062,"[[571, 502, 518, 390]]"
16061,"[[952, 836, 862, 650]]"
16060,"[[1603, 1409, 1454, 1097]]"
16059,"[[1010, 456, 2047, 1819]]"
16067,"[[1077, 946, 976, 737]]"
16058,"[[915, 415, 1858, 1650]]"
16056,"[[897, 406, 1821, 1618]]"
16055,"[[742, 415, 833, 640]]"
16054,"[[736, 413, 828, 635]]"
16053,"[[1389, 1039, 388, 350]]"
16052,"[[1198, 895, 334, 302]]"
16051,"[[1820, 1360, 508, 458]]"
16050,"[[855, 1350, 626, 368]]"
16049,"[[859, 1356, 628, 370]]"
16057,"[[909, 411, 1844, 1639]]"
16068,"[[1434, 1259, 1299, 980]]"
16069,"[[994, 873, 900, 679]]"
16070,"[[1509, 1408, 1299, 1135]]"
16089,"[[601, 88, 1214, 1130]]"
16088,"[[757, 111, 1529, 1421]]"
16087,"[[31, 5, 668, 347]]"
16086,"[[29, 6, 616, 319]]"
16085,"[[56, 11, 1175, 610]]"
16084,"[[33, 6, 684, 355]]"
16083,"[[35, 6, 740, 385]]"
16082,"[[31, 6, 663, 344]]"
16081,"[[30, 5, 621, 323]]"
16080,"[[29, 6, 623, 324]]"
16079,"[[29, 6, 623, 324]]"
16078,"[[472, 246, 2146, 1541]]"
16077,"[[253, 133, 1151, 826]]"
16076,"[[447, 234, 2030, 1458]]"
16075,"[[436, 228, 1976, 1419]]"
16074,"[[463, 242, 2098, 1506]]"
16073,"[[262, 136, 1188, 854]]"
16072,"[[440, 229, 1993, 1432]]"
16071,"[[1416, 1321, 1219, 1065]]"
16048,"[[862, 1360, 630, 370]]"
16047,"[[1539, 2429, 1127, 663]]"
16046,"[[1677, 2647, 1228, 722]]"
16045,"[[1046, 1648, 765, 450]]"
16021,"[[313, 212, 340, 265]]"
16020,"[[306, 208, 332, 258]]"
16019,"[[283, 192, 307, 239]]"
16018,"[[234, 159, 253, 197]]"
16017,"[[319, 216, 347, 270]]"
16016,"[[457, 311, 496, 386]]"
16015,"[[1065, 1182, 3187, 2035]]"
16014,"[[893, 990, 2671, 1705]]"
16013,"[[214, 496, 4016, 1992]]"
16012,"[[114, 265, 2144, 1063]]"
16011,"[[1367, 737, 1232, 887]]"
16010,"[[2125, 1486, 566, 720]]"
16009,"[[1667, 1167, 444, 565]]"
16008,"[[1369, 958, 365, 464]]"
16007,"[[1195, 836, 318, 406]]"
16006,"[[1298, 908, 346, 441]]"
16005,"[[892, 623, 237, 303]]"
16004,"[[1247, 873, 332, 423]]"
16003,"[[1738, 1215, 463, 590]]"
16022,"[[278, 187, 301, 235]]"
16001,"[[878, 900, 964, 894]]"
16023,"[[489, 332, 531, 414]]"
16025,"[[324, 219, 351, 274]]"
16044,"[[110, 654, 1280, 643]]"
16043,"[[166, 993, 1946, 976]]"
16042,"[[105, 632, 1239, 621]]"
16041,"[[168, 1000, 1961, 985]]"
16040,"[[112, 663, 1298, 651]]"
16039,"[[985, 146, 716, 945]]"
16038,"[[1402, 208, 1018, 1345]]"
16037,"[[970, 145, 705, 929]]"
16036,"[[796, 118, 579, 764]]"
16035,"[[995, 148, 723, 954]]"
16034,"[[956, 142, 694, 917]]"
16033,"[[804, 119, 584, 770]]"
16032,"[[976, 146, 710, 935]]"
16031,"[[961, 143, 697, 920]]"
16030,"[[982, 145, 712, 941]]"
16029,"[[800, 227, 1301, 1621]]"
16028,"[[1140, 323, 1852, 2309]]"
16027,"[[799, 225, 1300, 1619]]"
16026,"[[308, 209, 334, 260]]"
16024,"[[278, 189, 303, 235]]"
15910,"[[993, 773, 559, 655]]"
15909,"[[1000, 779, 562, 660]]"
15908,"[[932, 726, 524, 615]]"
15792,"[[22, 263, 919, 909]]"
15791,"[[28, 316, 1104, 1092]]"
15790,"[[27, 321, 1120, 1107]]"
15789,"[[20, 230, 803, 795]]"
15788,"[[369, 1246, 2242, 1709]]"
15787,"[[899, 882, 2058, 1096]]"
15786,"[[1149, 662, 708, 300]]"
15785,"[[1195, 689, 735, 313]]"
15793,"[[15, 166, 580, 574]]"
15784,"[[1131, 1405, 566, 657]]"
15782,"[[1140, 1418, 572, 663]]"
15781,"[[1069, 1328, 535, 621]]"
15780,"[[1615, 2007, 809, 938]]"
15779,"[[1020, 1269, 512, 593]]"
15778,"[[1776, 2208, 890, 1030]]"
15777,"[[1131, 1405, 566, 657]]"
15776,"[[523, 249, 577, 426]]"
15775,"[[470, 223, 519, 382]]"
15783,"[[1230, 1529, 616, 714]]"
15794,"[[27, 311, 1086, 1073]]"
15795,"[[27, 309, 1079, 1068]]"
15796,"[[15, 170, 596, 591]]"
15815,"[[1176, 706, 566, 771]]"
15814,"[[1184, 711, 570, 776]]"
15813,"[[1101, 662, 529, 722]]"
15812,"[[1159, 696, 558, 758]]"
15811,"[[1177, 708, 567, 773]]"
15810,"[[899, 540, 433, 590]]"
15809,"[[867, 522, 418, 568]]"
15808,"[[1110, 961, 941, 1233]]"
15807,"[[1000, 865, 848, 1111]]"
15806,"[[1402, 1215, 1189, 1560]]"
15805,"[[232, 95, 176, 292]]"
15804,"[[393, 162, 297, 490]]"
15803,"[[1096, 585, 1333, 430]]"
15802,"[[1256, 671, 1527, 493]]"
15801,"[[789, 816, 1285, 1566]]"
15800,"[[1208, 1249, 1969, 2397]]"
15799,"[[896, 928, 1463, 1781]]"
15798,"[[869, 899, 1417, 1725]]"
15797,"[[884, 915, 1441, 1756]]"
15774,"[[938, 803, 638, 547]]"
15773,"[[1032, 884, 702, 602]]"
15772,"[[317, 137, 270, 186]]"
15771,"[[329, 143, 280, 192]]"
15747,"[[781, 741, 1307, 1516]]"
15746,"[[867, 823, 1451, 1681]]"
15745,"[[786, 748, 1316, 1527]]"
15744,"[[729, 692, 1220, 1414]]"
15743,"[[812, 772, 1361, 1578]]"
15742,"[[1095, 1041, 1833, 2126]]"
15741,"[[1447, 1520, 393, 348]]"
15740,"[[2029, 2133, 553, 490]]"
15739,"[[1198, 1260, 327, 288]]"
15738,"[[1315, 1381, 357, 317]]"
15737,"[[1752, 1841, 477, 422]]"
15736,"[[1474, 1548, 402, 356]]"
15735,"[[1214, 1275, 330, 293]]"
15734,"[[1095, 1150, 298, 263]]"
15733,"[[1221, 1283, 333, 294]]"
15732,"[[351, 105, 309, 292]]"
15731,"[[350, 103, 308, 291]]"
15730,"[[346, 104, 306, 288]]"
15729,"[[351, 105, 309, 292]]"
15748,"[[926, 633, 974, 666]]"
15816,"[[1189, 715, 573, 780]]"
15749,"[[942, 644, 990, 676]]"
15751,"[[1053, 720, 1107, 756]]"
15770,"[[466, 202, 396, 273]]"
15769,"[[521, 227, 444, 305]]"
15768,"[[499, 217, 425, 293]]"
15767,"[[278, 121, 237, 162]]"
15766,"[[1064, 1044, 498, 347]]"
15765,"[[1134, 1112, 530, 370]]"
15764,"[[1536, 1457, 1051, 1051]]"
15763,"[[1201, 1137, 820, 821]]"
15762,"[[1188, 1057, 845, 521]]"
15761,"[[1562, 1391, 1110, 684]]"
15760,"[[1067, 951, 760, 469]]"
15759,"[[863, 580, 899, 362]]"
15758,"[[846, 568, 882, 356]]"
15757,"[[1016, 683, 1059, 426]]"
15756,"[[1382, 1084, 1249, 1324]]"
15755,"[[850, 669, 770, 815]]"
15754,"[[860, 676, 777, 825]]"
15753,"[[990, 777, 896, 950]]"
15752,"[[456, 14, 2332, 1627]]"
15750,"[[1004, 688, 1056, 721]]"
15817,"[[1283, 771, 617, 840]]"
15818,"[[1059, 637, 509, 693]]"
15819,"[[266, 124, 443, 246]]"
15884,"[[1457, 1266, 680, 377]]"
15883,"[[1546, 1343, 722, 401]]"
15882,"[[116, 38, 655, 573]]"
15881,"[[120, 39, 682, 597]]"
15880,"[[285, 391, 910, 583]]"
15879,"[[186, 255, 596, 381]]"
15878,"[[177, 243, 566, 363]]"
15877,"[[192, 262, 611, 391]]"
15876,"[[1524, 1709, 1950, 1320]]"
15875,"[[959, 759, 627, 669]]"
15874,"[[882, 699, 577, 614]]"
15873,"[[942, 748, 616, 657]]"
15872,"[[938, 743, 612, 654]]"
15871,"[[1048, 832, 686, 731]]"
15870,"[[948, 751, 619, 661]]"
15869,"[[1441, 1141, 941, 1004]]"
15868,"[[959, 759, 627, 669]]"
15867,"[[1585, 1256, 1036, 1104]]"
15866,"[[1436, 1138, 938, 1000]]"
15885,"[[1340, 816, 557, 614]]"
15865,"[[1848, 781, 679, 566]]"
15886,"[[1072, 654, 446, 491]]"
15888,"[[1174, 857, 713, 794]]"
15907,"[[987, 768, 555, 651]]"
15906,"[[1122, 875, 632, 742]]"
15905,"[[1082, 843, 609, 716]]"
15904,"[[1090, 848, 613, 720]]"
15903,"[[961, 749, 541, 636]]"
15902,"[[997, 777, 562, 660]]"
15901,"[[1610, 1139, 1561, 1469]]"
15900,"[[1283, 843, 325, 396]]"
15899,"[[1201, 788, 305, 370]]"
15898,"[[2108, 1386, 534, 651]]"
15897,"[[1304, 857, 331, 402]]"
15896,"[[1011, 605, 812, 612]]"
15895,"[[1568, 940, 1263, 949]]"
15894,"[[983, 589, 792, 596]]"
15893,"[[1144, 686, 920, 693]]"
15892,"[[1019, 1052, 780, 1034]]"
15891,"[[1414, 1460, 1082, 1433]]"
15890,"[[977, 1008, 748, 990]]"
15889,"[[1060, 775, 645, 718]]"
15887,"[[1035, 828, 538, 581]]"
15727,"[[348, 104, 305, 288]]"
15864,"[[1395, 589, 512, 426]]"
15862,"[[763, 735, 1391, 880]]"
15838,"[[21, 773, 4225, 2410]]"
15837,"[[1771, 1379, 1052, 1089]]"
15836,"[[1000, 779, 594, 614]]"
15835,"[[1121, 811, 657, 546]]"
15834,"[[1724, 1247, 1009, 837]]"
15833,"[[1927, 1393, 1128, 935]]"
15832,"[[1307, 946, 766, 636]]"
15831,"[[1288, 932, 755, 626]]"
15830,"[[1147, 828, 670, 557]]"
15829,"[[246, 798, 1922, 420]]"
15828,"[[1500, 1075, 943, 934]]"
15827,"[[880, 631, 553, 549]]"
15826,"[[272, 127, 452, 252]]"
15825,"[[352, 163, 585, 326]]"
15824,"[[353, 163, 583, 327]]"
15823,"[[273, 127, 451, 252]]"
15822,"[[351, 163, 580, 324]]"
15821,"[[351, 164, 582, 325]]"
15820,"[[356, 166, 592, 331]]"
15839,"[[20, 730, 3986, 2274]]"
15863,"[[777, 748, 1416, 897]]"
15840,"[[21, 744, 4061, 2316]]"
15842,"[[712, 994, 1599, 1251]]"
15861,"[[738, 710, 1343, 851]]"
15860,"[[809, 778, 1472, 932]]"
15859,"[[1810, 948, 930, 884]]"
15858,"[[994, 668, 956, 816]]"
15857,"[[965, 649, 929, 793]]"
15856,"[[857, 577, 825, 703]]"
15855,"[[3, 6, 690, 453]]"
15854,"[[1093, 44, 1350, 1566]]"
15853,"[[1848, 75, 2284, 2649]]"
15852,"[[1101, 45, 1363, 1580]]"
15851,"[[339, 1025, 1518, 739]]"
15850,"[[341, 1033, 1528, 743]]"
15849,"[[205, 297, 865, 646]]"
15848,"[[236, 339, 988, 739]]"
15847,"[[140, 203, 592, 442]]"
15846,"[[156, 226, 658, 492]]"
15845,"[[496, 211, 1861, 972]]"
15844,"[[1125, 720, 795, 820]]"
15843,"[[594, 831, 1337, 1045]]"
15841,"[[647, 907, 1456, 1140]]"
13903,"[[296, 206, 271, 211]]"
14468,"[[597, 225, 1601, 1244]]"
13901,"[[21, 57, 2510, 2206]]"
11925,"[[462, 99, 2297, 1479]]"
11924,"[[770, 165, 3838, 2473]]"
11923,"[[1443, 1050, 1971, 1483]]"
11922,"[[127, 225, 1768, 817]]"
11921,"[[131, 233, 1827, 844]]"
11920,"[[129, 230, 1808, 834]]"
11919,"[[127, 226, 1780, 824]]"
11918,"[[116, 204, 1606, 741]]"
11917,"[[983, 693, 1712, 1787]]"
11916,"[[1050, 741, 1827, 1907]]"
11915,"[[1018, 719, 1773, 1851]]"
11914,"[[1067, 753, 1857, 1939]]"
11913,"[[1030, 727, 1794, 1871]]"
11912,"[[237, 159, 427, 145]]"
11911,"[[406, 274, 729, 249]]"
11910,"[[12, 1158, 3288, 1897]]"
11909,"[[8, 675, 1920, 1108]]"
11908,"[[8, 686, 1948, 1124]]"
11907,"[[12, 1112, 3158, 1824]]"
11926,"[[484, 104, 2409, 1552]]"
11906,"[[8, 737, 2094, 1209]]"
11927,"[[505, 108, 2510, 1618]]"
11929,"[[443, 94, 2202, 1418]]"
11948,"[[966, 734, 694, 420]]"
11947,"[[972, 739, 697, 424]]"
11946,"[[946, 720, 680, 411]]"
11945,"[[963, 731, 690, 419]]"
11944,"[[992, 290, 1291, 1192]]"
11943,"[[1998, 1797, 614, 568]]"
11942,"[[2030, 1824, 624, 576]]"
11941,"[[720, 722, 2922, 2440]]"
11940,"[[1253, 638, 1035, 1109]]"
11939,"[[1218, 621, 1007, 1079]]"
11938,"[[161, 963, 957, 811]]"
11937,"[[190, 1137, 1130, 957]]"
11936,"[[157, 941, 934, 791]]"
11935,"[[661, 467, 908, 855]]"
11934,"[[543, 457, 1075, 879]]"
11933,"[[500, 421, 992, 812]]"
11932,"[[523, 113, 2602, 1676]]"
11931,"[[722, 155, 3591, 2313]]"
11930,"[[444, 95, 2213, 1426]]"
11928,"[[474, 101, 2357, 1519]]"
11949,"[[982, 746, 704, 426]]"
11905,"[[7, 740, 2100, 1212]]"
11903,"[[1889, 766, 947, 1438]]"
11879,"[[852, 646, 1140, 852]]"
11878,"[[1253, 950, 1677, 1252]]"
11877,"[[1593, 1316, 660, 560]]"
11876,"[[47, 51, 825, 621]]"
11875,"[[40, 43, 680, 512]]"
11874,"[[47, 51, 819, 618]]"
11873,"[[41, 46, 727, 548]]"
11872,"[[47, 49, 800, 603]]"
11871,"[[48, 52, 837, 631]]"
11870,"[[42, 47, 739, 556]]"
11869,"[[44, 48, 779, 588]]"
11868,"[[47, 51, 822, 620]]"
11867,"[[48, 52, 837, 631]]"
11866,"[[1243, 869, 1230, 741]]"
11865,"[[1778, 1243, 1760, 1060]]"
11864,"[[1218, 852, 1205, 726]]"
11863,"[[1811, 1265, 1793, 1081]]"
11862,"[[1247, 872, 1236, 744]]"
11861,"[[1132, 395, 1406, 1620]]"
11880,"[[1210, 918, 1619, 1209]]"
11904,"[[1101, 588, 900, 668]]"
11881,"[[795, 603, 1065, 796]]"
11883,"[[825, 627, 1106, 825]]"
11902,"[[920, 373, 461, 701]]"
11901,"[[1868, 757, 935, 1422]]"
11900,"[[1285, 522, 643, 978]]"
11899,"[[1068, 925, 720, 514]]"
11898,"[[883, 765, 595, 424]]"
11897,"[[905, 784, 610, 435]]"
11896,"[[1612, 159, 1372, 1981]]"
11895,"[[1338, 131, 1139, 1643]]"
11894,"[[1665, 163, 1416, 2044]]"
11893,"[[1714, 168, 1460, 2106]]"
11892,"[[1986, 196, 1692, 2440]]"
11891,"[[1150, 112, 980, 1413]]"
11890,"[[1682, 166, 1433, 2066]]"
11889,"[[1092, 107, 929, 1341]]"
11888,"[[382, 885, 1734, 1073]]"
11887,"[[597, 789, 2005, 1846]]"
11886,"[[1207, 1244, 1517, 2583]]"
11885,"[[861, 889, 1083, 1843]]"
11884,"[[700, 723, 883, 1501]]"
11882,"[[966, 733, 1294, 966]]"
11950,"[[985, 748, 706, 429]]"
11951,"[[963, 731, 690, 419]]"
11952,"[[985, 748, 706, 429]]"
12018,"[[1088, 648, 353, 322]]"
12017,"[[1202, 716, 390, 356]]"
12016,"[[1333, 1107, 1561, 472]]"
12015,"[[1032, 857, 1208, 365]]"
12014,"[[1350, 1120, 1582, 479]]"
12013,"[[1021, 848, 1194, 361]]"
12012,"[[1260, 1045, 1474, 447]]"
12011,"[[1023, 848, 1196, 363]]"
12010,"[[1260, 1045, 1474, 447]]"
12009,"[[1354, 1123, 1584, 479]]"
12008,"[[1023, 850, 1199, 363]]"
12007,"[[974, 516, 870, 918]]"
12006,"[[1078, 572, 961, 1016]]"
12005,"[[905, 656, 1530, 1267]]"
12004,"[[1087, 788, 1838, 1521]]"
12003,"[[816, 592, 1378, 1141]]"
12002,"[[1157, 839, 1955, 1620]]"
12001,"[[1078, 782, 1821, 1507]]"
12000,"[[750, 544, 1268, 1050]]"
12019,"[[1723, 1035, 1645, 1807]]"
11999,"[[984, 714, 1665, 1379]]"
12020,"[[1346, 1165, 1811, 1225]]"
12022,"[[183, 250, 2214, 1063]]"
12041,"[[1806, 1547, 952, 645]]"
12040,"[[1016, 1156, 681, 374]]"
12039,"[[949, 1080, 635, 348]]"
12038,"[[1030, 1173, 690, 379]]"
12037,"[[991, 656, 344, 377]]"
12036,"[[1399, 751, 369, 333]]"
12035,"[[1740, 934, 460, 413]]"
12034,"[[1324, 711, 349, 315]]"
12033,"[[1877, 1007, 496, 446]]"
12032,"[[1409, 755, 372, 335]]"
12031,"[[2019, 1083, 534, 480]]"
12030,"[[1194, 641, 314, 283]]"
12029,"[[692, 445, 1339, 1122]]"
12028,"[[676, 435, 1309, 1096]]"
12027,"[[728, 468, 1411, 1183]]"
12026,"[[645, 416, 1251, 1048]]"
12025,"[[686, 442, 1331, 1115]]"
12024,"[[740, 476, 1432, 1200]]"
12023,"[[189, 260, 2306, 1106]]"
12021,"[[218, 299, 2653, 1273]]"
11998,"[[1051, 761, 1775, 1470]]"
11997,"[[1072, 778, 1813, 1500]]"
11996,"[[974, 705, 1645, 1363]]"
11971,"[[835, 428, 1705, 1815]]"
11970,"[[834, 426, 1702, 1814]]"
11969,"[[888, 454, 1813, 1932]]"
11968,"[[838, 227, 815, 962]]"
11967,"[[971, 263, 945, 1114]]"
11966,"[[1017, 274, 990, 1167]]"
11965,"[[919, 249, 893, 1053]]"
11964,"[[1107, 298, 1075, 1267]]"
11963,"[[843, 228, 818, 965]]"
11962,"[[811, 327, 2672, 2112]]"
11961,"[[475, 191, 1562, 1235]]"
11960,"[[477, 192, 1574, 1244]]"
11959,"[[482, 193, 1585, 1254]]"
11958,"[[297, 119, 976, 772]]"
11957,"[[284, 115, 940, 742]]"
11956,"[[781, 315, 2575, 2037]]"
11955,"[[661, 476, 1197, 1086]]"
11954,"[[778, 559, 1407, 1275]]"
11953,"[[556, 361, 1804, 1434]]"
11972,"[[373, 948, 742, 692]]"
11973,"[[294, 746, 584, 545]]"
11974,"[[200, 508, 398, 373]]"
11975,"[[12, 13, 629, 478]]"
11995,"[[817, 1115, 644, 350]]"
11994,"[[1469, 2005, 1160, 629]]"
11993,"[[857, 480, 2012, 1254]]"
11992,"[[1279, 717, 3006, 1871]]"
11991,"[[578, 0, 1782, 1417]]"
11990,"[[574, 0, 1772, 1408]]"
11989,"[[556, 0, 1712, 1362]]"
11988,"[[1122, 901, 664, 406]]"
11987,"[[1115, 896, 661, 405]]"
11860,"[[1017, 355, 1265, 1457]]"
11986,"[[1006, 808, 595, 365]]"
11984,"[[564, 482, 1277, 1101]]"
11983,"[[613, 524, 1388, 1196]]"
11982,"[[596, 511, 1351, 1164]]"
11981,"[[883, 757, 1999, 1721]]"
11980,"[[1206, 977, 375, 370]]"
11979,"[[1628, 1321, 506, 499]]"
11978,"[[1750, 1420, 544, 537]]"
11977,"[[29, 75, 559, 388]]"
11976,"[[582, 24, 1194, 1490]]"
11985,"[[546, 467, 1237, 1066]]"
11859,"[[205, 94, 628, 608]]"
11858,"[[290, 67, 2034, 1483]]"
11857,"[[319, 74, 2245, 1637]]"
11740,"[[971, 630, 531, 272]]"
11739,"[[939, 608, 512, 262]]"
11738,"[[1060, 685, 580, 295]]"
11737,"[[813, 727, 1692, 1045]]"
11736,"[[1118, 1000, 2329, 1440]]"
11735,"[[937, 840, 1954, 1207]]"
11734,"[[852, 762, 1775, 1098]]"
11733,"[[891, 798, 1855, 1147]]"
11732,"[[886, 793, 1844, 1140]]"
11731,"[[851, 761, 1772, 1096]]"
11730,"[[1317, 1178, 2744, 1696]]"
11729,"[[873, 782, 1821, 1125]]"
11728,"[[880, 43, 2036, 4747]]"
11727,"[[662, 444, 604, 424]]"
11726,"[[1085, 727, 992, 696]]"
11725,"[[1040, 697, 950, 666]]"
11724,"[[817, 548, 745, 523]]"
11723,"[[1522, 1021, 1390, 975]]"
11722,"[[1036, 695, 945, 664]]"
11741,"[[1160, 750, 633, 323]]"
11721,"[[789, 680, 1504, 1254]]"
11742,"[[1173, 758, 641, 327]]"
11744,"[[1878, 1215, 1027, 525]]"
